,file,context
0,0025_0025,"t Poutia uthi all tingh som bäg- ges drängh warit och så wähl Ryttkens som Mutkas saaker in och uth skeppet, fast intet Ryttken medh Poutia om lego stadgat, ty ehrkänner Rätten skiähligit att Ryttken och ½"
1,0056_0056," fattigt folk ähre, måste medh dhen ringa kiöpen- skap dhe hafwa kunna, skynda sigh i tijdh, och då skeppen uthi Nyien ankomne ähre, medh deras waror, säger och att Gudzordh äfwen  som här i Nötteborgh Pre"
2,0078_0079,"t uthi  Sölfwerpeningar. Hwaroppå skall uthi senaste Häredz Tingh wara Resolverat, det Nuppoin medh skepparens (på hwilkens Lådia, dese bägge medh Michel Pöllönen från Ångamo by warit) laga Attestatum skol"
3,0078_0079,"n Ångamo by warit) laga Attestatum skolle sigh denne beskyl- net frångåå, Hwarföre badh Nuppoin det skepparen Anders Kobbra kundhe afhördt blifwa. Hwilken Kobbra (sedan honom ansadt bleff först sin Edh afl"
4,0078_0079,"n och gifwen Edh Effter Lagh hålles så godh som gången, säger 29 Cap. Rådstu Balken. Bekändhe altså skepparen Anders Kobbra, att dese 2:ne böndher medh Nuppoin och  2:ne ifrån hans huus, warit på hans lådi"
5,0083_0084,"zon för 3 D:r, och dhen andre hoos Bengdt Sairanen ibm för 6 D:r  men dhen 3:die ähr i Nyien på Ett skepp försåldt blifwit för 12 D:r, så  hadhe han och den fierde hoos En bondhe i PelgeJerfwij Socken Pant"
6,0134_0135,"rige 2ne Tunnor till Afwinen, och sökie sit igien af fålket dhen gångh medh på lådian warit, Emedan skepparen som annors Godz Emodt tager, och weth huru mycket huar och en inlastar, böhr swa- ra och fulth "
7,0177_0178,"Båtzmän, jämpte En Styrman tillsammans leja, der emodt betahla frahtarena 1 D:r 16 /: öre för hwart Skeppund dhe inlasta, kiött, talg, flesk, heller annat, Effter Stockholms wicht; Såsom och för hwarie upr"
8,0283_0284,"med honom och försålt af samma Malt 16 t:r, som han böör swara före, 5:o haar och, Petter Mutka som Skepiare wa- rit, dragit ingen försorg om lådian Fol 22 lådian, Uthan när Rägn kommit ho- läckt, hwar ig"
9,0283_0284,en Mutka lagdt sig der emel- lan; hwarföre afsades at bendt:e Petter Mutka lijkmätigdt det 4 Cap. i Skeplag B:n bör ståå och sswa- ra för den skadan Iwan Jeremie Son måst Uthståå Nl: á 49 d:r KM:tz betaln
10,0291_0292,"ill ofwann:de Skieppare eij neka kunna; hwarföre afsades, att dhe till honom lijkmätigdt det 15 Cap Skep L:a B:n lefwerera ½ t:a Salt iempte refusion för Säcken; doch hafwa of- wan n:de lådie Interunna si"
11,0311_0312,"h wäll hördt desses roop, men intet wetat hwadh sådandt betyder derföre weta dhe inthet wittna, Men skeparen Bruun Olofson som medh på lådian war bekänder alt som dhe 3 förrige, dåch som han medh Hinrich "
