,file,context
0,0078_0080," besuäradhe sigh kr. klymestaren Erich Ambiöreßon öfwer några Borgare, Nembl. öfwer Peter Sigfridh, son Liuro, Johan Larsson och Philip Hindrichsson, huru såsom der uthaff Cronones Soldaterne, som äre Ab"
1,0089_0091,"edh Sallinnan upsprungen, och befunnit Eldhen wara, nedher emellan Sallinnes kiöka och Jacob Brusi- ssons Bodha, och icke på någon Tak. Effter dee wittne icke alle wore tillstädz upskiotz Saken till löger"
2,0089_0091,"ergångne Eldzwådhen, hwilke ordz Modren sedan för honom Sallin berättadh hadhe, hwar opå Sallin sin Son, till bem:te Raßmus hustru förskickat hadhe, då hon upråpadhe hadhe samma ordh, och sagdt det witne"
3,0091_0093,"e, icke någon tiufnadh kan öfwertygas, eij heller i handom tagit, ehuru wäll käranden Anders Anders son uppå Simon Walkoins gifne skrifft Saken emot Kello Johan angifuit hafuer; Och nu Simon Walkoin berä"
4,0092_0094,"lßon hadhe samma kiöt nedher först till hampnen medh kijkes Båtzman: Tillspördhes Mattz Hämelen, om Sonen Tretko Kijka då war tillstädhes? Swarade, at dee begge samma kiöt, Nembl: Matz Hämmelain på Sigfr"
5,0093_0095," wara uthaff Kijk Wasilioff tagne ifrån Sigfridh Matzsson på betalt ningh, hwilket Swaranden lijkas son Treta nu sedermehra tillstådh, och ehuru wäll fadhret medh godzet i Ryssernes hender bort bleff so "
6,0093_0095,"nu sedermehra tillstådh, och ehuru wäll fadhret medh godzet i Ryssernes hender bort bleff so hafuer Sonen Tretko sin fadhers herlemnadhe medh sin Brodher Wasilioff sigh det alt tillägnat dij erkenner den"
7,0109_0111,"omma hafwer om mårgonen då strax bönder befunnes, som köpslaga will hwar uppå då strax Bokhållarens Son Erich Michelßons Gabriel benämbd, dijt in kom, för- nekade dhem dher att köpslaga, då hafwa dhe gif"
8,0112_0114,"ention, som han tilförende ahngifwit hafwer, i Arfrätt bestånde, effter sin morfade och Syster Sal: Sonkan, hwilken skulle uthi Borgmester Sal: Cas= Per grööns förwarning warii insatt; men effter Borgmes"
9,0115_0117,"er warit, ihogen och huggit weedh, och emedan han dee hafwer warit, hafwer tillkommit Erich Michel= son Kainulain, hwilken för böte Mårten hafr till sig roopat, then och således effter komit hafwer. och"
10,0124_0126,"ne instugudagh d. 7 hujus pålades; dher då wittnet Nasille Kijski framkom, som Rådmannen Johan Mån- son sigh på beroopade; hwilken bemelte Wasälli Kij- ki wittnade sigh då först hafwa till kommit, och se"
11,0130_0132,"efunderat blifwer. Denne Mortomeer inlagu, blef dito Contraparten Maii:t Michell düster, igenom sin son Erich düster, öfwer lefwererat. Dito Inlade Rådmannens Son, på sin Anders wägnar En rächningh emell"
12,0130_0132,"parten Maii:t Michell düster, igenom sin son Erich düster, öfwer lefwererat. Dito Inlade Rådmannens Son, på sin Anders wägnar En rächningh emellan sin fader och handelsmannen wäcktt Hans Mortomeer. Om de"
13,0130_0132,"düster och skilde them åth; Sädan gick Erich Düster dher ifrån, hem till Leutnampten Hinrich Johan= son, hwar på är då Eris Oluffons hustru effterkommit, hafwandes en bär knijff i handen, lofwendes honom"
14,0130_0132,"skall iag i dagh igenom digh störta du skiälm, hunsfot och Schurk; der effter gick han, Erich Oluf- son till Constablen Thomas Carlsson och lijtt Constablen gå till b:te düster /: som war hoos sin morbro"
15,0131_0133,"ch düster gångit till leut: Henrich Johanßon sådan folket war gångit i Kyrkian, då hafwer och Oluf- Son tillijka medh Constablen Thomas Carlsson komma effter, och budit honom düster komma uth, då hafwer "
16,0132_0134,"u dett, att dher syne wittnesmän framter skulle. No. 12 Dito framkan andra gången Erich düster medh son wederpartfridh Olufzon, och beropade sigh på wittne Sal: H.r Hinrich Änkia och hennes Syster; hwarf"
17,0141_0143,en wen erma nicht wurde ochahlen sothes den Hr bruder Jur nå- rich er kan hier ein thun wes är will sonste söbe- iet nach måhlen er måthe mitt mir richtig win sande mår åtwas roggen Cito hott empfahlen u
18,0149_0151,"hafwer sagt, bröd willtande Jöran Hejke giörd Jagh will taga änn Systers /: som din Swärmoder är :/ Son till migh, och hans arff och sädan språngh uppå Jacob, och skufwade honom till hörnet, ochn beet ho"
19,0151_0153,"lååß, beroopandes sigh på någre bönder, som då skulle hafwa warit tillstädes en ene war Gullßmedens Son i Räysele, och twå andre deß 150"
20,0159_0161,"os fångmannen lijngwäfwerre Hinrich From; Men såsom lijnwäfwaren dö= dne är, hafwer man pålagt hans Son Elias From som om samma hust beschaffenheeten weet tillij- ka med samma bonde Pönnin till Kurkijock"
21,0160_0162,"t försummade, skulle effter lag straffat blifwa. N:o 8 Dito Framkom Cusma Erich, sampt Simon Brußi= son, andre gången å Borgerskapetz wägnar willjandes weeta hurulunda med Stadzens Eric legier behäffat w"
22,0169_0171,"Hinnel sig som tillförende upphäfwit ty häst H:r Landz höfdingen nu åter opplässa, H: Excell:s Gen: sonverneurens breff, så på Swenska som på fin- ka, wijd åthwarning att der dher icke nu med sin mootstr"
23,0174_0176,Sententia. Emädan såsom Pijgan Maria Sonn 3dotter öhwer tyg hafwa skielt Wällb:ne h: Landzhöfdingens Pijga Margareta Matzdotter för höra; Ti
24,0186_0188,"åta sin fullmacht See? Martill Blankenhagen Swarade, det wore gå mecht nog, att han wore sin moders Son, hwil= ken stycken alnginge, och hwar han sådant änte. ligne begierade wille han den och skriffteli"
25,0189_0191,"Sententia mädan såsom lijnwäfwaren Elias From borga= re Mikita Lefoska, Petter Petersson Simon Bru¬ son, Hinrich Krijdi emot sin gifne obligation f d 30 Jan: 667, sampt Postmästarens Jochim Fresses inlef"
26,0193_0195,"llmächten Marcus främbärg, att Johan Matzon skulle sig ett börder opå gehäng af H. landzhöfdin hans Son till handlat, lofwandes honom derföre 2 örbetr: och uärb:te Junker der uth fäste wa intet bekom, ha"
27,0195_0197," wärdera dett borderade gehänget, som Hr Landzhöfdingen förmar Tiänare af wälb:ne H. Landzhöfdingen Son, olagligen tillhandlat hafr hwilket mehrb:te dher gehängh /: nähr deras Attert lydelse, så tolff Ri"
28,0200_0202,an och giorde med sådanne formalier; att han hade intet intet mehra skrifwit ähn hwad Greelß Erich- son hade begiärt eij skulle Grelß Erichßon honō at bewijsa: och mehra af denne saaken wiste han icke. S
29,0202_0204,"lles will er micht von wißen, säget är sigh folckas mist erinneren kan, weilen åber H. Mathias Hind ßon, Tiuff Hans Mortomer, winter die obliga hängen, däß sig söldes guthwilligen under grefreben, som al"
30,0203_0205,"ådhman Berendt Timmermans tiänare, Berendt Permöller gifwandes tillkenna huruledes Sal. Simon Lars= sons Enkia, wore skylldig till hans huusbonde 3 Isach 7 mk:r Smör, för undfångit Salt, begier- des af R"
31,0205_0207,"8 tr uthi Schutan är inbracht wordet, med hwilke han här uthi hampnen legat till dess Casper Martin son. Swåger frukens order bekommit, att han b:te Rog; i Kexholm, försällja och uthcheppa skulle, hwarfö"
32,0209_0211,"efallningmanssens wägnar Lijnwäfwaren Petter Petterson, gifwen des tillkom huruledes Johan Olufsons Son, Johan, skulle ha i hielstuckit för befallningmannen, ett 2 åhr gammalt Swijn, när han uppå Cronone"
33,0209_0211,dat Christer M nen bete som då tillstädes skulle hafwa warit och se att färgekarlens Johan OlufSons Son dett medh Pijken weed Befallningmannens huusswäghar stucket hadh: Uppå detta begiör Johan Sta Som ä
34,0221_0223," Grelson, Matz Jatinen N:o 12. Framtredde för Retten Hinrich Jonßon ifrån Nyen, Hr Jonas Jäspersons Son och beswärade sig öfr borgaren här samma ledes, Jacob Brusison oppå 124 D:r 4 ör Kmt: wed interesse"
35,0222_0224,"ten, att den måtte wärderrat blifwa. Hwar till för or- nades Rådmannen Erich Simonson, Jacob Grels- son och Matz Jatinen. Den 9 Marti höltz ord: Rådstugudag när warande Rådmannen Erich Simonson, Johan Må"
36,0223_0225,"fdingens wägnar Rent:ne Zacharias Jonßon, sampt Rådmannen Erich Simonson, Johan Månßon, Jacob Grel- son, Matz Jatinen. N:o 17 Föredrog Cronones Befallningman Nilß. Olufson, huruledes borgerskapet här sam"
37,0224_0226,"lööpa igenom 50 p from, och till bakarß, 5 gånger gatulop, Dito oppsade Räntmästaren Zacharias Jon- son borgen för Petter Lijnwäfware, at gående der pgr han till kyrkian skylldigt N:o 19. Fram kom för Rä"
38,0234_0236,"tig uthdrucken, frågade derföre Jochim Bardling, hwar öhlet tog wägen? säijandes till Postmästarens Son wist hafr du behållit pgrne att köpa dig wärin förr: Der effter strax förlorande och handlingen ett"
39,0238_0240," daterat. Mustala d 28 Martij 669. hwar uthinnan b:te Änke war beswärar sig, huruledes denne bondes Sonn Corius Staphansson skall uthom hennes förlof, så wäl som sin egen faders; hafwa förbytt anhäst til"
40,0239_0241,"för undt, bewierandes att bonden måt till sin rött förhielpas. Bonden Staphan Theri säger; att hans Son hafr såtsom hans wetskap och förlof uthi sitt fyllerij till bytt sig en uthgammal, och blin- häst, "
41,0239_0241,"gen komma, och hans barn icke så af någon förledas. Swaranden Glaßmästaren Peter Anderßon säger att Sonen är sielf nådande till hästen begieras att bonden måtte der om med Eedh tillhållin blifwa. Bonden "
42,0239_0241,"ri till böd sig, och effter giordh sträng förmaning sanningen att säija aflade han sin Edh att hans Son alldeles uthan som faders för lof hustru hafwa försåldt, och lästen icke Sonen tillhörig wara henne"
43,0239_0241,"e han sin Edh att hans Son alldeles uthan som faders för lof hustru hafwa försåldt, och lästen icke Sonen tillhörig wara henne saken blef slutin till effter fölljande Sentens. Emädan såsom Peter Anderßon"
44,0239_0241," Emädan såsom Peter Anderßon befinnes att hafwa olaga köpslagen drijfwit medh bonden Staphan Theris Son Corio Staphanson; Dy dömmes dömmes den förbijte hästen Staphan igen att institueras, i dett Glaßmäs"
45,0242_0244,"z Burschåp nämbl: Hinrich ordyk Wildman Jeremias Michelßon Greelß Erichßon, Wasil Kyki, Oluff Johan son. Deße uthgofwo burskap till Staden, Hinrich wildman 2 RDr Grelß Erichßon 2 RD N. 23. Dito lofvade H"
46,0243_0245,"å hoppma nen här uthöfwer Stadzens fäste att meddeela No. 27. Dito begierade Räntmästaren Zacharias sson, att bekomma Stadzens fästa uthöfwer sin gårdh här i Kexholm belägen; willjandes der till medh oppt"
47,0254_0256,lo Nolfwi och Heike Grelson framkallade /: närwarande Grelß Ericßons fullmächtige Hinrich Krijdi :/ son giore sin bekännelse om dett oloflige Tobuket som Ryttaren Peter Tysk och bonden Simon Pärsinen bek
48,0262_0264,"edh handlat för hwilket han saakfälter är, hafwandes bijfall af der Attesterne som någre af Guarni= sons folket och borgerskapet, honom hans skylldigheet att Attestera, meddeelt ifrån: Hwarföre Wällb:de "
49,0263_0265,"hwad wittnen hade betygat; och hwar der ähnnu mehra behöfdes skiäl? Så wore Rådhmannen Erich Simon= son för handen, som sin Eedh kunde och afläggia, att när Grelß mötte honom i kirfua krogh, och reeste å"
50,0265_0267,"h otillbörligen skrifwit; och hafr Grelß lofwat att willia för alt tillta här uthöfr swara Grelßfri,ßon swarade på Jeremiӕ Michelßon bekännelse: att han hade så sagt; och lofw wara för alt efftertaal och"
51,0265_0267," nän: Sådan hafr förrboin ste renst på landet och i medler tijdh Grels kommit i hoop medh Pierneins son, och lij tit honom emot sinneß willia, Pier hon nampn underskrifwa. R 19 dito wed ord: Rådstugudagh"
52,0265_0267,b:ne H:r Landzhöfdingen Patrick ogilwie sampt Borgmä och Rådh. No 6 Framkallades Constablen Gustaff son och blef tillfrågat på lijka sätt såhand dee andre tillförende; hwar opå Gusta Carlson swarade i si
