,parent,file,context
0,s1,0360-83,"n funne någon tunna  som såledz icke wore medh det jernet märckt, så skulle  han angif:a och straxt confiscerat blif:a emedan mången  skall sielf wräka sin tiära, denne wräkaren till skada  och mehn uthi des "
1,s1,0441_0441," af Tijain, som att dhe wahror honom i förstonne icke allenast tillhördt, uthan och af honom blif:r confiscerade.  Denne Tijain gaf här emoot till Swahrs att då han, som den tijden een Skattdragare i Liexa wa"
2,s1,0441_0441,"dh beredare, i Liexa beeta och beredas, hwilcka Skinn, wedh heemreesan till Liexa, af honom blifwit confiscerade, doch enär Enckian dhem igen fått af Parfwiain, har hon dhem andra gången honom, uppå samma wil"
3,s1,0441_0441,"ook, den fullmecht:n 16. fullmechtigen honom defererade giorde, att dhe warit dhe sama skinnen, som Confiscerades af honom, hwilcka Sahl:e  Kyrckioheerdens Enckia honom att i Liexa beredas gif:t och att han d"
4,s1,0441_0441,"s: Georgius Sculptorius sökte att tilläggja Borgaren Johan Tjain, som skohle dhe [1]689 i Safwolax, confiscerade 8 st: Rääf- och 19 st: haarskin warit honom tillhörige, för hwilc- ka han af Tijain 46 D:r 8 ö:"
5,s1,0441_0441,"en hade :/ att dhe wa- rit sama skinen Enckian medh honom, att beredas i Liexa  sändt, som af honom confiscerades, och han dhem enckian igen beredda tillstält; dy ehrkändes Johan Tijain lijk- mätigt deße skiä"
6,s1,0476_0476,"illsamman 13 D:r  16 ö: K:r m:t till Jumpain att betala och sökie han den  igen deße saker af honom confiscerat, det bästa han kan och gitter. Rådman. 14. Rådman Isack Mackoin framtedde een Rechningh emoot  B"
7,s1,0488_0488,"Eedh å Book, be- dyrade, det hoos honom intet mehr qwarblifwit, då han  för något mehr än åhr sedan confiscerades i Safwolax af  den ihoopwarande handeln medh Michel och Lars Pirhoi- set, än 12 D:r 9 ö: K:r m"
8,s1,0488_0488,"n 3:de dehl be- giärar uthaf; Så emedan Brodren Michel Pirhoin äfwen  hade det blif:t af honom Lars confiscerat, medh des beken- else och Martinen war benöigdh; dy haf:r dhe alla att  undergå lijka skada, ell"
9,s1,0488_0488,"des beken- else och Martinen war benöigdh; dy haf:r dhe alla att  undergå lijka skada, eller dheras confiscerade godz igen  att sökia, dett bästa dhe kunna och gitta. då. 38. Då förehades Tattaren Gabriel Dan"
10,s3,0033_0034,"tte oach- tandes fast de äga med sigh aff Wederbörande pass och  bewijss, ia till öf:r flödh blif:a confiscerade aff Arenda- torernes betiente, hwar öf:r borgaren Simon Hurri framtedde en lagofogh doomb aff d"
11,s3,0033_0034," back reesa till Sawolax att förbyta emot spanmåhl  uthi dessa hårda tijder, blif:a de där iämbwähl confisce- rade, så att dett således uppå alla sijdor warda trängde, hwarföre de anhölte att desse deras besw"
