,parent,file,context
0,s1,0036_0036,"uthur händerne lööst, då Rein- håldt kommit att löpa, sedan han någre slagh af Pusa hans hustru och swåger fådt wedh porthen på trapporne. Här till swaradhe Reinhåldt och sadhe sigh intet sådant giordt, bed"
1,s1,0036_0036," honom medh En pijska uthkringh öhron slagit, der på han hänne fattat i håret, och då Pusa medh sin swåger och Swärfadhers drängh till sprungit, honom först wedh porthen på trapporne, slagit, och sedan fölg"
2,s1,0037_0037,"eligen öfwerträdt, sam- malunda haf.r och Pusa icke mindre sigh försedt, i det han medh sin hustru, Swåger och En drängh, Reignholdt effter jagat 34. Jagat från sit huus, någre Gårdar förbij och under Reign"
3,s1,0039_0039,"n betyga wille, det han för 4 åhr sedan åth bem:te Ryse 2:ne reesor brenwijn brändt här hoos Rysens Swåger Samson Sink[in]  och medh Sinkins kiärel, dåch hwarit något sendh på wåren. En tunna ungefähr hwar "
4,s1,0039_0039,"a alla omröstadhe och sadhe det han nu i någre åhrs tijdh handlat här å orthen och altijdh hoos sin swåger Simson Sinkin  hafft humbla, Salt, Ryske rennar och hanskar att sällias och när han under- stundom "
5,s1,0039_0039," rennar och hanskar att sällias och när han under- stundom hädan till andre orther reest haf:r hans Swåger Samson altijdh hoos sigh hans saker behållit, och lijka som des kiöpswän dhem uthmång  lat, der ifr"
6,s1,0039_0039,"afwandhe waror Borgarena  först præsenterat, och sädhan dhe eij kiöpa wellat, haf:r han stundom sin Swåger Samson oplåtit någre waror för billigare prijss och på Credit än det någon annan försällia wellat, "
7,s1,0039_0039,"n sine waror dubelt högre än andre Ryser, och sådant för den orsaak skull att han tillijka medh sin Swåger löneligh får skakra och handla medh bönder och Fremmandhe, befrågandes honom och Ryttken om han eij"
8,s1,0040_0040,"gar såldt, och icke till brenwijns skolle brinna låtit och sigh uthi olyka bracht, då månde han sin swåger beskylla som af stadz  wäsendhe weth och honom sådant eij affrådt, och säger ständigdt sigh till in"
9,s1,0040_0040,"ästaren eij så snart hemkomma kundhe han intet längre låthe brenwijnet liggia, uthan haf:r medh sin swåger Samson gådt till Rådman Pusa, och sagdt det han brenwinet bårtföra wille, då Pusa säger sigh swarat"
10,s1,0041_0041,"strerat, oppå Borgaren Taraske Pukares klagan, effter han Rysen samma brenwijn sedan låtit hoos sin swåger Somson Sinko  uthmångla och mehr opkiöpt, jämpte och effter dhen tydh mäst stadigdt sin kiöpenskap "
11,s1,0054_0054,"ffdömmas skolle, berättadhe Rådman Martinus Canutij det och Johan Mutka medh Felix Månsons hustru i Swågerlagh och hans hustru Syster wore ty ansades och han ifrån Rätten att opståå effter han jäflwat blif:"
12,s1,0100_0101,"ohan Mutka, Jacob Thomsson, Jöran Wallius, Alldenstundh Jacob Jeremiaeson måste tillstå sigh af sin Swåger, Oloff Afwin ½ T:a rågh tagit sedan Oloff ifrån sin Fader Jacob Afwinen skilldes, dy dömmes han den"
13,s1,0112_0113,"är Waris dijt kommit effter Ondruskas faders begiäran, att taga sin betalning för tobaket han deras Swåger gif- wit, sampt 6 mk:r för een pust effter det 12 Cap: i Dito Balck, än till 12 mk:r effter det 31 "
14,s1,0156_0157,"ade Da- niel Bruun hänne Eden, dhen hon och Rätteligen af ladhe sanningen att bekiänna, och eij för Swåger Lagh mindre annat Någodt hwadh passerat wahr att förtyga, hon bekände äfwen dett den förrige att då"
15,s1,0200_0201,dem tillkom- mer för det dhe warit på arfskifte och deelning emedan bem:te Saf- fan Climpo och hans Swåger ryska Diacken Ifwan Kounon eftter hans moder Irina Rådifwans dotter. Staf- fan Climpo säger sigh de
16,s1,0207_0208,"ll wittne Bonden Da- niel Karpoin ben:dh, den Råija strax  exeiperade emoot, medan som han  är hans Swåger; Sedan sade Råija effter som han war owiss om ryska Diackens  wittnande, att om Mårten Putkonen  ka"
17,s1,0320_0321,"låtit uthtaga af Kåistins ägendom Een Koo wärderat för 9 D:r, och tillstält Källdä, der på Kåistins Swåger Jacob Tårfwin giordt fåfångdt insprååk och förmådt koon tilbakas, ty haar och Kåistin wedh sitt bår"
18,s1,0320_0321,"z intet 319. 7. intet medh dhe 9 D:rs Koon först werderades före ähr nöigder, och sökie Tårfwin sin Swåger Kåistin, hwar han honom kan finna och bäst gitter. Dhe 3 D:r Kopp:r el:r någre öre mindre som Borga"
19,s1,0360-83,", och dät lijkmätigt det 10 Cap: i KiöpM: B: Stl.  Arrendatoren H:r Hinrich Slöörs fullmechtige des Swåger  Stud:s Dns; Johannes Mether fordrade af Borgaren Da- niel Bruns hustro Anna Mutka 15 D:r K:r M:t h"
20,s1,0360-83,"ar af- skurne, doch wiste Rätten eij så noga hwadh det hade att  betyda, hwarföre framstegh dumbens Swåger Tiäru- wräkaren Petter Årawain, berättandes det för unge- fähr 1 ½ ähr sedhan blifwit uthaf henne d"
21,s1,0399-423,"ns Rechning uthwijsar 31 D:r hwilcka Penningar  denne Martinus såssom Sterbhwsetz fullmechtige och  Swåger, i det han hafft till ächta Systren emoot Sahl:  Kyrckioheerden Glumerum, af Alhemio opburit: dernä"
22,s1,0399-423,"rskaffan- de åth arfwingarne. Anhållandes nu Såickel med  des hustro, uppå sin och sin Brodhers och Swågers Hen- rich Glumeri wegnar (effter hans Breeff daterat Stock- holm d. 24 Julij [1]691, hwar utj han "
23,s1,0444_0444,"gieldh opburit, det rech- ningen oprättat af Borgaren Oloff Såickel, swarande denne Henrich Glumeri Swåger, i dy han Systren, till hu- stro äger och Saken för een tijdh sedan, effter Glumeri full- macht, hä"
24,s1,0445_0445," Johan Tijain kärande och Johan Staffanson Kuckoin Swarande absens, uti någon begången af Kuckoises Swåger een Smedh gåsse ifrån Ny- en, hwilcken och Kuckoin hoos sigh denne tijden hållit jemb- wähl och i f"
25,s1,0447_0447,"ffanson Kuckoin medh det första icke skaffar för Rätta, effter låfwen och dilations begiärande, sin Swåger hans Zachrisson een Smedh gåße ifrån Nyen, att afbörda sigh den beskyllningen Borga- ren Johan Tija"
26,s1,0450_0450,"a bewitna, men alredo i gåhr straxt effter Predijkan afreest.  Petter Årafwain, som ähr Lappalaises Swåger, sade honom heehl nychter i gåhr om Morgons kommit i hans hws, derest frå- san honom så hefftigt an"
