,parent,file,context
0,RO_1684-1687,0002_0002,Nyens Stadz Rådhstugu Protocoll och Doombook De Anno 1684. Inlefwererat till denne Kongl. Rätt d 10 Febru
1,RO_1684-1687,0011_0011,"hwilken knijf ähr klagandhen fram- stuhlen; Reus sadhe sig hafwa hittat knijfwen i höstas under Luhrskans huus, då han fördhe balkar up från Stran- dhen, och dhen såldt åth foreraren för en kanna öhl, beki"
2,RO_1684-1687,0012_0012,", bedt referentin, at föra en kruka medh brännewijn och 4 al:r tobak till Swaranden i Stokhuuset på Skantzen, och fråga honom, hwadh han skulle giöra der af, som Fiershrotz pijga har i göro; Inhyses pijgan El"
3,RO_1684-1687,0012_0012,"o af Swaranden R. Neij;  Cu: Hwarföre hon sendt detta tobak åth Swarandhen? Rp: Swarandhen har från Skantzen igenom en Soldat låtit säija, hon skulle skicka honom dhet Tobak, som låg på hööbodhan; Swarandhen "
4,RO_1684-1687,0020_0020,"t at en hustru som wa- rit samma gången medh på båthen skall hafwa samt om Swarandhen, får Vallentinskans dotter så kom- mer han uthi en slägt af en stoor swantz;"
5,RO_1684-1687,0031_0031,"åthwarnat, och förestält, hwadh dhet för en stor Syndh ähr; 3: Om han icke af H:r öfwerste Leutnant Skantzens- stierna alfwaringen blef förmant, han skulle achta sig mehra för fyllerij, dess lijkess af H. Maj"
6,RO_1684-1687,0032_0032,"11: affirmat Ad interrogat: 12, affirmat, dhet wore skedt af nar- rij, men han satt derföre fast på Skantzen Saken blef upskuten ad proximam; /: Reus nekar alldeles sig hafwa druckit första bön- dagen på H: B"
7,RO_1684-1687,0038_0038,"pel- lations emotz en dom, emillan dhem och S:r Hans Berend Soldan å dess hustrus wägnar; afsagd på Nyens Rådhuus d: 5 Novemb: innemwa- randhe, blifwer detta beskedh gifwit; Eme- dhan Appellanterne deras a"
8,RO_1684-1687,0041_0041,"eneficium Appellationis emotz en domb, emillan dhem och Sahl: borgarens Claus Wargens änkia afsagdt Nyens Rådhuus d: 10 Novemb: innewahrandhe, blifwer detta beskedh gifwet; Emedhan Supplicanterne hafwa int"
9,RO_1684-1687,0125_0125,122 Nyens Stadz Rådh- stugu Rättz Protocoll. De Anno 1685. insinuerat i denne Kongl. Rätt d. 22 Feb. 686
10,RO_1684-1687,0153_0153,"ådant till honom sagt, men sedermehra då han Prophossen sielf straxt der effter tillsporde Kompo på Skantzen der om, hade Kompo alldeles nekt der till; d: 11 Novembr: Uppå inkommen befallning af hans Excell:t"
11,RO_1684-1687,0170_0170,"ptionem före deelinatoriam, och eendents delatoriam, är denne Rådstugu Rättz reso- lution gifwer på Nyens Rådhuus den 7 Decembr: 1605; Såsom Swarandhen uthi des ingifne skriffter för- menar sig icke wara s"
12,RO_1684-1687,0171_0171," jagat och Snolierads, denne sin fordra wijdare Lagligen fullföllja, hwilket han intenderadhe här i Nyen såsom foro rei gesti, at wärkställa, hwart höll han sig A:o 671 igen förfogade och nedsättia låtand"
