,file,context
0,0100_0102,"affa förijdarens Thomas Sigfrijdssons fullmacht, till- sade Rådst honom af Stadzens uppbörder 4 tr. Korn. alles att bekomma. Den 27 Aprilis wijd ord: Rådstugudagh som hölt, uthi Kex= holm : närwaru, på h:"
1,0106_0108,"förende här wijd staden, uthi hämpne insamblade Smör, till hoopa 6 tr: giörandes för- uthan 15 ¾ tr korn, och rogh 16 Cr: och en malt 16 Cr: hwil- ket alt är emot sålt för bytt; honom tillfrågades först B"
2,0114_0116,"han Carelain, att han skulle kyrkian här i Kexholm uppbyggia, alldeles färdigh medh spånat taak och korn, golff, och hwadh mehra dess behör wore, annan tagandes annat innandömme effter den form som honom "
3,0120_0122,"r hwem dhen köpt hafwer mehr ähn dett att Påwel klockare hafwer köpt at honom 2 Dr: rödigh och 2 Dr korn, och derföre bekommit 4 öre kop pgr :/ mycket mindre af syne Cammeraters, med en han säger, dhem ha"
4,0139_0141,"to Framkom Borgaren Hinrich Löhn klagandes öf- Phillip Hinrichsson att hans häst hafwr oppätit hans korn på wari, hwar till förordnades Mägtesmän som sådant effter skulle och oppehiötz till nästkommande R"
5,0166_0168,"bet 5 Dr K:m:tt N:o 30 Dito dömbdes Philip Hinrichsson att betala, ätioböter, till Koha Heike, 4 Dr korn, och 4 Cap:r hafwa, dem hans häst uppåtit hafwer på Soosahre, effter dhet 9 Cap. i Bygg. 6. hr. D 1"
6,0248_0250,"erij att hålla frijdt, som altijdh i bruk warit och een bör; så wäll som bryggia och bränna af dett kornet honom dem till under håld gifwa låter; hwilkett Borgmäster och Rådh medh skiäl, förmeenes icke ku"
7,0268_0270,"ööns Änkia, hust Catharina Wagner, att hon henne wore skylldig en halfftunna Salt, och en half- mia korn begierandes här till af Retten förhullpen blifwa. Swaranden Borgmäster änkians fullmästr re Antoniu"
8,0309_0311,"Karkain; hwilken Sigfrijdhade wara sin af- wundzman, för det att han hafwerit skylldig Sin 24 Cap:r korn. dem han haffr måst sökt med tre igen: bonden sade sig alldrig hafwa trätt med han uthan altijd bed"
9,0380_0382,"raord: Rådhstugu dagh, närwarande Borgmästare och Rådh. Stadzsens åkrers Arfning pro 673 nembl: rog korn hafra Jacob Hendrichßon... - 6 - Jeremias Michelßon... 12 - 8 Borgmästare Enckian. 12 uti een Åker "
10,0381_0383,Rogh korn hafra Hendrich Koha. 4 - - Nijlo Reepo... 4 - - Sigfridh Kuiru... 4 - - Matz Poika 2 - - Elias Påfw
11,0402_0404,"ygas, sig hafwa stulit Arendatorens Simon Orthens bärkare, wä- gande 6¾ lodh; ty dömes han samma bå Korn att restituera, och böte bärkarn 3 dubbel igen, finnes inge böter då Arbete derföre lijkmätigt Kong"
12,0452_0454,". att betahla för färgebååtz hyra här i Kexholm 1 „ Tappa Rogh af gården, eller dhen som rogh eller korn icke hade 2. Cappar hafra för 1. Lappa rogh, och sådant åhrligen. Denne dheras begiäran blef af Sta"
13,0500_0502,"som hafr begynt der omtala, han e- och sådant bewijsa. Tillspordes Staphan Segherson, huru han hade korn tillsamma taal? R. Att han intet hade sedt de man en bonde ifrån JärfwomPå Jacob Päßib:d haf:r lagt"
14,0645_0648,"ch Jöran Michell- som sielfwa bekenne och tillståå att dhe öfwer måhlet af kommer och hafran Nembl. korn 5 tun:r 6 5 D:r 16 ö: Km:tt hafwa 7 tun: – 3 D. km:t, hafwa försålt och penningarne proportionalite"
15,0645_0648,ss Kåsåin och Jöran¬ Michellßon Swarandhe angåendhe öfwerskåtetz försällia dhe och försittandhe aff korn och hafwa och malt såssom och dhen Rågh dhe i andtwarning hafft och dhe ähre konne till korta afsag
16,0647_0650,"wer breff werderandes halfftadh för 18 öre Km:tt och war härmed intet klander. Sedan Såsom 7½ Cappa korn blifwer afdragit för dhen Skada som Hofrim, Toiwonens häst medh opbetandhe giort hafwer på Stamina "
17,0651_0654," måhl, Möllnaren Jacob Jacobson aff Miöhl- qwarnen wedh Sågen 5 tun:r 16 Capp:r Rågh, 3 tunr 26 D:r korn. aff Slåtz qwarnen ähr för samma åhr intet fallet, effter Anders Juhte haar Möllnaren Grelss Mattzs"
18,0703_0706, ningen Nybygde qwarnen hafftunder händer att deraf är qwarntull pro A.o 689: fallet Råg 5. tr. och korn 2. t:r hwilcken uthsagu har med i lijka måtto blif:r annoterat. Ao 1690 d 19 Maij
19,0732_0735,dran opå Underskrefne Dato warit opå Slåttet och wedh bodarnes beseende befunnit att uti der twenne kornbodar för den myckna Spanmåhl i denne framledne Winter och Wåhr ähre inkommen hafwa bielckarna af de
20,0732_0735,"å stora och breda dhe någonsin äre på Mar¬ kene uthrumnet och ändoch det ähr försöckt det Uthrundne kornet i säckiar inslå och i bodarne införa så är doch straxt i stället annat korn uthrunnet, hwilcken s"
21,0732_0735,"örsöckt det Uthrundne kornet i säckiar inslå och i bodarne införa så är doch straxt i stället annat korn uthrunnet, hwilcken skada eij förr, till dess quantum kan förfaras an Sp:l afbodarne blif:r uthtömb"
22,0740_0743,", Lijn öf.r 1. Lisspund 8 Dr Ull, Gull speter som warit tillförne på hennes Myßa, 5 t.r Rågh. 3. t. korn och lijtet för Pingestijden 1 t.a korn 1. Rödh häst 2. allnar hwijta spetzar à 5. D:r allnen på- tå"
