,parent,file,context
0,RO_1684-1687,0215_0216,"gen Jacob. Simon Erichson inlefwereradhe een NederRätten doom af d: 23: innewarandhe, angåendhe een Loda- om S: Hans Jurgen Jemph för dhen låtit här i Nyc- arrestera, och emedhan des Skadeståndh, som igiö"
1,RO_1684-1687,0418_0419,"bets lädan, men Margretha säger der emot sig allenast sagdt, att hustru Maria tagit penningar uthur lådan och dem opdrukit. Maria beswärade sig at Margretha skiält henne jemwäl för nysteröf- så framt Wälb"
2,RO_1684-1687,0421_0422,"aretha Olofzdotter jembwäl för det hon be- skylt Maria Pyls, at hafwa tagit penningar uthur Embetes lådan och dem updrukit, till 6 m:r Sm:t Argum: Dito Cap: här medh saakfält, och begge för den förargelse"
3,RO_1684-1687,0482_0483,"s wärde af honom tagit, uthan Käranden, har ännu hoos sig af Swaranden een brefs Formular book, een låda och een swart satt, som reus begiärar tilbakars, berättan- des derjempte huru såsom Actor i dess re"
4,RO_1684-1687,0533_0534,"mer är thet mig okänt at Eders 284 Lådan ifrån sig, hwarpå Reggberg swarat, det sådant hoos Embetet refererat och andra gången ähr nu seent"
5,RO_1697,0040_0041,"ng:r sampt gifwa henne pan- ten igen, men henne, då icke anträffat; hwar opå han reest sin koos och lådian han warit opå förolyckatz, sampt såle des denne Tröijan jembwäl förkommit, som icke heller skall w"
6,RO_1697,0059_0060,"lij- ten Tallrick el.r pateen, skolandes dett skiedt om Liusa dagen och uti Ryssens Fo- ma Sutarofz lodia derest berde Foma, han /: Fedot :/ och Jaffim Gagrin med flere an- dre Ryssar då warit tillstädes. "
7,RO_1697,0081_0082,"aker, och sedt 2ne stycken Lärfft af dubbel bredd een i hwardera kistan med andra kläder, men ingen låda hade han sedt, effter som han allenast een kista visiterat och Soldaten Casper Holm sökt utj den an"
8,RO_1697,0150_0151,"ter, nyligen uti Stadzens Corps de Guarde för honom /: Påhl :/ berättat, att för- in ber :/ Langens Lodia till Åbo afgick som kiedt ungefehr den tijden afr sagde Skuta med Cronones Spanmåhl här ifrån till "
9,RO_1697,0153_0154,"n Larsson medh samma Österbottns Folck betingat om 4 eller 5. Tr Rågh, dem han welat Lasta i bem:te lodia oth på och lofwat 20 öre km:t för tunnan i fracht, men sedan hade Larss ingen Råg sedt för honom in"
10,RO_1697,0173_0174,"Carain Erichzdotter wed nampn begifwit sig uti Stockholm opå Borggens i Sorda- wala Anders Immonens lodia, i mening att komma hijt till sin Man; Men som hon opå reesan ifrån berde Skuta oförmodel.n skall w"
